iter	Passed	Remaining
0	29	29960
1	51	25927
2	72	24180
3	92	23146
4	112	22382
5	132	21882
6	149	21202
7	167	20746
8	190	20955
9	210	20821
10	230	20720
11	249	20570
12	269	20476
13	285	20136
14	309	20325
15	330	20319
16	358	20719
17	377	20582
18	393	20338
19	410	20124
20	430	20068
21	448	19925
22	466	19809
23	483	19680
24	502	19609
25	520	19515
26	538	19409
27	556	19316
28	577	19342
29	594	19230
30	612	19157
31	631	19114
32	652	19117
33	674	19153
34	691	19068
35	709	18986
36	729	18986
37	748	18943
38	773	19067
39	797	19148
40	813	19023
41	832	18981
42	849	18902
43	864	18772
44	876	18604
45	893	18531
46	914	18533
47	931	18469
48	947	18385
49	963	18312
50	981	18271
51	1003	18289
52	1020	18230
53	1043	18282
54	1062	18263
55	1080	18211
56	1096	18146
57	1113	18080
58	1130	18034
59	1146	17955
60	1167	17967
61	1187	17960
62	1201	17869
63	1218	17815
64	1234	17757
65	1249	17688
66	1265	17629
67	1282	17581
68	1297	17505
69	1316	17497
70	1342	17563
71	1367	17621
72	1389	17648
73	1413	17690
74	1444	17811
75	1470	17877
76	1496	17942
77	1523	18012
78	1561	18201
79	1593	18326
80	1627	18464
81	1656	18542
82	1682	18588
83	1713	18684
84	1739	18728
85	1761	18725
86	1786	18752
87	1812	18783
88	1828	18721
89	1850	18709
90	1867	18653
91	1887	18629
92	1908	18616
93	1935	18651
94	1965	18721
95	1996	18795
96	2024	18848
97	2046	18837
98	2074	18877
99	2097	18874
100	2121	18886
101	2147	18903
102	2174	18937
103	2197	18932
104	2225	18971
105	2249	18974
106	2270	18948
107	2289	18907
108	2305	18847
109	2321	18782
110	2337	18720
111	2348	18620
112	2365	18571
113	2387	18554
114	2412	18563
115	2435	18557
116	2454	18524
117	2474	18496
118	2497	18489
119	2520	18480
120	2543	18475
121	2569	18489
122	2593	18491
123	2616	18486
124	2638	18467
125	2657	18430
126	2674	18382
127	2687	18309
128	2704	18260
129	2720	18206
130	2733	18136
131	2748	18076
132	2764	18023
133	2786	18008
134	2797	17922
135	2816	17895
136	2835	17864
137	2852	17819
138	2867	17764
139	2889	17750
140	2908	17720
141	2927	17688
142	2942	17635
143	2956	17577
144	2972	17529
145	2987	17475
146	3014	17492
147	3037	17485
148	3063	17496
149	3083	17475
150	3105	17458
151	3135	17490
152	3156	17475
153	3173	17435
154	3192	17404
155	3209	17365
156	3240	17401
157	3261	17381
158	3278	17340
159	3292	17287
160	3310	17253
161	3335	17255
162	3358	17244
163	3377	17214
164	3393	17174
165	3410	17136
166	3429	17104
167	3448	17078
168	3464	17037
169	3483	17008
170	3500	16969
171	3514	16920
172	3530	16875
173	3544	16827
174	3560	16785
175	3574	16733
176	3587	16681
177	3602	16634
178	3614	16576
179	3628	16528
180	3642	16479
181	3656	16432
182	3670	16389
183	3684	16340
184	3699	16295
185	3712	16246
186	3725	16199
187	3738	16147
188	3752	16099
189	3765	16052
190	3778	16003
191	3791	15955
192	3803	15903
193	3816	15856
194	3829	15808
195	3842	15763
196	3856	15718
197	3868	15670
198	3881	15624
199	3894	15578
200	3909	15539
201	3923	15498
202	3936	15456
203	3949	15412
204	3964	15374
205	3977	15331
206	3991	15289
207	4001	15235
208	4015	15196
209	4031	15164
210	4044	15123
211	4059	15090
212	4075	15056
213	4092	15030
214	4109	15005
215	4132	14999
216	4151	14979
217	4170	14960
218	4189	14940
219	4206	14915
220	4222	14884
221	4238	14853
222	4253	14821
223	4268	14787
224	4284	14757
225	4297	14719
226	4311	14682
227	4326	14647
228	4340	14612
229	4358	14591
230	4375	14566
231	4392	14539
232	4407	14508
233	4422	14478
234	4436	14441
235	4450	14406
236	4462	14368
237	4475	14330
238	4489	14293
239	4502	14258
240	4515	14221
241	4528	14183
242	4542	14150
243	4556	14118
244	4571	14088
245	4586	14058
246	4601	14027
247	4619	14008
248	4640	13994
249	4661	13985
250	4681	13969
251	4699	13947
252	4715	13923
253	4733	13902
254	4748	13873
255	4762	13841
256	4777	13811
257	4796	13794
258	4814	13773
259	4830	13747
260	4848	13727
261	4864	13701
262	4877	13668
263	4891	13637
264	4906	13609
265	4921	13580
266	4937	13553
267	4954	13532
268	4969	13504
269	4985	13478
270	5002	13456
271	5018	13432
272	5034	13405
273	5050	13382
274	5065	13355
275	5081	13329
276	5098	13306
277	5116	13287
278	5138	13278
279	5158	13265
280	5175	13242
281	5189	13213
282	5204	13184
283	5220	13160
284	5235	13134
285	5249	13106
286	5265	13080
287	5279	13053
288	5292	13020
289	5306	12991
290	5319	12960
291	5332	12929
292	5345	12899
293	5359	12869
294	5372	12838
295	5384	12807
296	5396	12774
297	5409	12743
298	5422	12712
299	5436	12685
300	5450	12657
301	5463	12628
302	5479	12603
303	5495	12580
304	5511	12557
305	5525	12530
306	5539	12504
307	5552	12474
308	5566	12447
309	5586	12434
310	5601	12409
311	5614	12381
312	5631	12359
313	5648	12339
314	5664	12319
315	5682	12299
316	5698	12277
317	5714	12256
318	5729	12231
319	5745	12210
320	5760	12184
321	5777	12164
322	5793	12142
323	5811	12125
324	5824	12097
325	5837	12069
326	5851	12042
327	5864	12015
328	5878	11989
329	5892	11964
330	5906	11938
331	5921	11914
332	5934	11886
333	5948	11861
334	5962	11836
335	5978	11814
336	5996	11796
337	6009	11770
338	6024	11746
339	6037	11720
340	6051	11694
341	6066	11671
342	6083	11652
343	6101	11634
344	6118	11616
345	6136	11598
346	6153	11579
347	6169	11559
348	6184	11535
349	6197	11510
350	6211	11484
351	6224	11459
352	6239	11436
353	6252	11409
354	6267	11387
355	6280	11361
356	6293	11336
357	6307	11311
358	6321	11287
359	6335	11263
360	6348	11238
361	6361	11212
362	6374	11185
363	6386	11158
364	6400	11134
365	6414	11111
366	6429	11088
367	6444	11068
368	6461	11049
369	6476	11028
370	6493	11009
371	6509	10989
372	6526	10971
373	6543	10952
374	6557	10929
375	6572	10907
376	6586	10885
377	6600	10860
378	6613	10836
379	6626	10812
380	6640	10788
381	6653	10764
382	6666	10738
383	6679	10715
384	6693	10692
385	6712	10676
386	6728	10657
387	6747	10643
388	6766	10627
389	6781	10607
390	6796	10586
391	6811	10564
392	6824	10540
393	6837	10517
394	6851	10493
395	6864	10470
396	6878	10447
397	6891	10424
398	6905	10400
399	6919	10379
400	6933	10357
401	6947	10334
402	6961	10313
403	6976	10292
404	6989	10268
405	7002	10245
406	7016	10223
407	7031	10202
408	7046	10182
409	7065	10167
410	7081	10148
411	7099	10132
412	7116	10114
413	7134	10098
414	7152	10081
415	7168	10063
416	7183	10043
417	7199	10023
418	7212	10001
419	7226	9979
420	7240	9957
421	7256	9938
422	7271	9918
423	7286	9899
424	7301	9877
425	7314	9856
426	7329	9835
427	7343	9814
428	7357	9792
429	7370	9770
430	7384	9748
431	7399	9728
432	7414	9709
433	7430	9690
434	7446	9671
435	7464	9655
436	7483	9641
437	7501	9625
438	7518	9607
439	7534	9589
440	7547	9567
441	7562	9547
442	7576	9525
443	7592	9507
444	7606	9486
445	7619	9464
446	7634	9444
447	7648	9423
448	7662	9403
449	7680	9387
450	7696	9368
451	7710	9348
452	7724	9327
453	7737	9305
454	7752	9285
455	7766	9265
456	7783	9248
457	7800	9231
458	7815	9211
459	7832	9194
460	7849	9177
461	7864	9158
462	7879	9138
463	7894	9119
464	7910	9101
465	7925	9082
466	7939	9061
467	7952	9040
468	7966	9019
469	7982	9001
470	7999	8984
471	8014	8965
472	8030	8947
473	8047	8930
474	8063	8912
475	8081	8895
476	8095	8876
477	8110	8857
478	8128	8841
479	8157	8837
480	8180	8827
481	8198	8810
482	8218	8797
483	8236	8781
484	8254	8764
485	8271	8748
486	8287	8730
487	8303	8711
488	8321	8695
489	8336	8676
490	8351	8657
491	8366	8638
492	8381	8619
493	8397	8601
494	8413	8583
495	8436	8572
